Country Name,Country Code,2010
Aruba,ABW,2467703911
Andorra,AND,3346317329
Afghanistan,AFG,15936800636
Angola,AGO,82470913121
Albania,ALB,11926953259
Arab World,ARB,2.10382E+12
United Arab Emirates,ARE,2.86049E+11
Argentina,ARG,4.25916E+11
Armenia,ARM,9260284938
American Samoa,ASM,
Antigua and Barbuda,ATG,1135539037
Australia,AUS,1.14225E+12
Austria,AUT,3.90235E+11
Azerbaijan,AZE,52902703376
Burundi,BDI,2026864469
Belgium,BEL,4.83577E+11
Benin,BEN,6970240895
Burkina Faso,BFA,8979966766
Bangladesh,BGD,1.15279E+11
Bulgaria,BGR,49939168133
Bahrain,BHR,25713271277
"Bahamas, The",BHS,7909580000
Bosnia and Herzegovina,BIH,17163117551
Belarus,BLR,55220932614
Belize,BLZ,1397113450
Bermuda,BMU,5744414000
Bolivia,BOL,19649631308
Brazil,BRA,2.20887E+12
Barbados,BRB,4445500000
Brunei Darussalam,BRN,12370616062
Bhutan,BTN,1585472534
Botswana,BWA,12786662035
Central African Republic,CAF,1986014846
Canada,CAN,1.61341E+12
Central Europe and the Baltics,CEB,1.31161E+12
Switzerland,CHE,5.81212E+11
Channel Islands,CHI,
Chile,CHL,2.17538E+11
China,CHN,6.03966E+12
Cote d'Ivoire,CIV,24884505035
Cameroon,CMR,23622483984
"Congo, Rep.",COG,12007880590
Colombia,COL,2.87018E+11
Comoros,COM,516962886.8
Cabo Verde,CPV,1664310770
Costa Rica,CRI,36298327620
Caribbean small states,CSS,59631444333
Cuba,CUB,64328200000
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25247424011
Czech Republic,CZE,2.07016E+11
Germany,DEU,3.4173E+12
Djibouti,DJI,1128611700
Dominica,DMA,493703703.7
Denmark,DNK,3.19811E+11
Dominican Republic,DOM,53864484468
Algeria,DZA,1.61207E+11
East Asia & Pacific (excluding high income),EAP,7.82005E+12
Early-demographic dividend,EAR,8.50942E+12
East Asia & Pacific,EAS,1.6674E+13
Europe & Central Asia (excluding high income),ECA,3.0536E+12
Europe & Central Asia,ECS,2.08319E+13
Ecuador,ECU,69555367000
"Egypt, Arab Rep.",EGY,2.18888E+11
Euro area,EMU,1.26404E+13
Eritrea,ERI,2117039512
Spain,ESP,1.43167E+12
Estonia,EST,19494662252
Ethiopia,ETH,29933790334
European Union,EUU,1.69461E+13
Fragile and conflict affected situations,FCS,6.30599E+11
Finland,FIN,2.47815E+11
Fiji,FJI,3140508836
France,FRA,2.64699E+12
Faroe Islands,FRO,2301178416
